;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ПРАЙС-ЛИСТ НА 08.11.2021;;;;;;;;;;
МОСКВА- тел.+7(495)956-78-25, e-mail: fedor12volt@mail.ru;;;;;;;;;;
САНКТ-ПЕТЕРБУРГ- тел.+7(812)337-13-75, e-mail :alex12v@bk.ru;;;;;;;;;;
;Упаковка;Опт, руб.;РРЦ / INTERNET;Заказ,    шт.;Поступления                              Изменение цены;ССЫЛКА ;;;;
JBL CLUB 522F;4 шт.;2,820.00р.;3,620.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/akustika/5093/;;;;
JBL CLUB 620F;4 шт.;3,000.00р.;3,840.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/akustika/5094/;;;;
JBL CLUB 602C;4 шт.;5,990.00р.;7,700.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/akustika/5095/;;;;
JBL CLUB 605CSQ;4 шт.;8,650.00р.;11,880.00р.;;NEW Поступление!!!!!;;;;;
JBL CLUB 625CSQ;4 шт.;6,950.00р.;9,520.00р.;;NEW Поступление!!!!!;;;;;
JBL CLUB 9632;4 шт.;4,970.00р.;6,260.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/akustika/5096/;;;;
JBL STAGE1 621;4 шт.;1,800.00р.;2,280.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4916/;;;;
JBL STAGE1 601C;4 шт.;2,450.00р.;3,430.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/jbl/5097/;;;;
JBL STAGE1 9631;4 шт.;2,590.00р.;3,770.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4917/;;;;
JBL STAGE3 427;4 шт.;2,490.00р.;3,200.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/jbl/5098/;;;;
JBL STAGE3 427F;4 шт.;1,940.00р.;2,550.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4464/;;;;
JBL STAGE3 527;4 шт.;2,800.00р.;3,670.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4465/;;;;
JBL STAGE3 527F;4 шт.;2,200.00р.;2,900.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4466/;;;;
JBL STAGE3 627;4 шт.;3,100.00р.;4,030.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4467/;;;;
JBL STAGE3 627F;4 шт.;2,490.00р.;3,140.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4468/;;;;
JBL STAGE3 637F;4 шт.;2,750.00р.;3,600.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4479/;;;;
JBL STAGE3 6427;4 шт.;2,490.00р.;3,200.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4480/;;;;
JBL STAGE3 8627;4 шт.;3,190.00р.;4,250.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4481/;;;;
JBL STAGE3 9637;4 шт.;4,170.00р.;5,690.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4483/;;;;
JBL STAGE3 9637F;4 шт.;3,650.00р.;4,870.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/avtozvuk/4482/;;;;
JBL STAGE3 607С;4 шт.;4,600.00р.;6,150.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/jbl/4473/;;;;
JBL STAGE3 607СF;4 шт.;4,170.00р.;5,500.00р.;;Изменение цены с 12 октября;http://www.master12volt.ru/products/jbl/4474/;;;;
GROUND ZERO;;;;;;;;;;
"серия ""IRIDIUM""";;;;;;;;;;
GROUND ZERO GZIF 4001FX;10 шт.;3,400.00р.;4,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/3694/;;;;
GROUND ZERO GZIF 40X;10 шт.;2,250.00р.;2,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/3695/;;;;
GROUND ZERO GZIF 52X;10 шт.;2,750.00р.;3,590.00р.;;;http://www.master12volt.ru/products/ground-zero/2704/;;;;
GROUND ZERO GZIF 65X;10 шт.;2,800.00р.;3,790.00р.;;;http://www.master12volt.ru/products/ground-zero/2706/;;;;
GROUND ZERO GZIF 6501FX;10 шт.;4,800.00р.;6,390.00р.;;;http://www.master12volt.ru/products/akustika/2707/;;;;
GROUND ZERO GZIF 69X;4 шт.;3,950.00р.;5,390.00р.;;;http://www.master12volt.ru/products/avtozvuk/3698/;;;;
GROUND ZERO GZIC 13Х;4 шт.;4,250.00р.;5,590.00р.;;;http://www.master12volt.ru/products/avtozvuk/5121/;;;;
GROUND ZERO GZIC 16Х;4 шт.;4,600.00р.;5,990.00р.;;;http://www.master12volt.ru/products/ground-zero/2708/;;;;
GROUND ZERO GZIC 650FХ;4 шт.;9,000.00р.;11,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/3701/;;;;
"серия ""TITANIUM""";;;;;;;;;;
GROUND ZERO GZTF 4.0Х;4 шт.;2,950.00р.;3,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5267/;;;;
GROUND ZERO GZTF 5.2Х;4 шт.;3,550.00р.;4,790.00р.;;;http://www.master12volt.ru/products/avtozvuk/5268/;;;;
GROUND ZERO GZTF 6.5Х;4 шт.;4,100.00р.;5,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5269/;;;;
GROUND ZERO GZTF 69;4 шт.;5,000.00р.;6,590.00р.;;;http://www.master12volt.ru/products/ground-zero/4470/;;;;
GROUND ZERO GZTМ 100NEO ;10 шт.;5,600.00р.;7,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5270/;;;;
GROUND ZERO GZTK 165;6 шт.;4,050.00р.;5,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5271/;;;;
GROUND ZERO GZTC 130.2X;4 шт.;6,750.00р.;8,990.00р.;;;http://www.master12volt.ru/products/ground-zero/4471/;;;;
GROUND ZERO GZTC 165.2Х;4 шт.;7,400.00р.;9,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5272/;;;;
GROUND ZERO GZTC 165.3 -ACT;4 шт.;9,600.00р.;13,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5273/;;;;
GROUND ZERO GZTC 165.3 ;4 шт.;12,250.00р.;16,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5122/;;;;
"серия ""COMPETITION""";;;;;;;;;;
GROUND ZERO GZCF 7104XSPL;1 компл.;9,100.00р.;11,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/4485/;;;;
GROUND ZERO GZCK 165SPL;1 шт.;3,500.00р.;4,550.00р.;;;http://www.master12volt.ru/products/avtozvuk/4486/;;;;
GROUND ZERO GZCK 200ХSPL;1 шт.;5,700.00р.;7,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/4487/;;;;
GROUND ZERO GZCM 6.5SPL;1 шт.;2,620.00р.;3,450.00р.;;;http://www.master12volt.ru/products/avtozvuk/5325/;;;;
GROUND ZERO GZCM 8.0SPL;1 шт.;3,410.00р.;4,450.00р.;;;http://www.master12volt.ru/products/avtozvuk/5326/;;;;
GROUND ZERO GZCM 10.0SPL;1 шт.;4,000.00р.;5,250.00р.;;;http://www.master12volt.ru/products/avtozvuk/5327/;;;;
GROUND ZERO GZCM 6-4FX;1 шт.;2,370.00р.;3,150.00р.;;;http://www.master12volt.ru/products/avtozvuk/4489/;;;;
GROUND ZERO GZCM 6-4PPX;1 шт.;3,550.00р.;4,650.00р.;;;http://www.master12volt.ru/products/avtozvuk/4490/;;;;
GROUND ZERO GZCM 8-4FX;1 шт.;2,850.00р.;3,750.00р.;;;http://www.master12volt.ru/products/avtozvuk/4492/;;;;
GROUND ZERO GZCM 8-4PPX;1 шт.;3,670.00р.;4,850.00р.;;;http://www.master12volt.ru/products/avtozvuk/4493/;;;;
GROUND ZERO GZCM 10-4FX;1 шт.;3,550.00р.;4,750.00р.;;;http://www.master12volt.ru/products/ground-zero/1673/;;;;
GROUND ZERO GZCM 10-4PPX;1 шт.;5,850.00р.;7,950.00р.;;;http://www.master12volt.ru/products/ground-zero/4507/;;;;
GROUND ZERO GZCC 162.2SQL;1 компл.;15,250.00р.;19,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5548/;;;;
GROUND ZERO GZCC 200.2SQL;1 компл.;19,500.00р.;24,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5328/;;;;
GROUND ZERO GZCT 1000X;1 шт.;1,530.00р.;1,950.00р.;;;http://www.master12volt.ru/products/avtozvuk/4510/;;;;
GROUND ZERO GZCT 2100X-B;1 шт.;1,375.00р.;1,850.00р.;;;http://www.master12volt.ru/products/akustika/4511/;;;;
GROUND ZERO GZCT 3000X;1 шт.;3,300.00р.;4,450.00р.;;;http://www.master12volt.ru/products/ground-zero-5/4512/;;;;
GROUND ZERO GZCT 3500X-B;1 шт.;1,170.00р.;1,550.00р.;;;http://www.master12volt.ru/products/ground-zero-5/4513/;;;;
GROUND ZERO GZCT 3500X-S;1 шт.;1,170.00р.;1,550.00р.;;;http://www.master12volt.ru/products/ground-zero-5/4514/;;;;
GROUND ZERO GZCT 19N-PROX B;1 шт.;5,700.00р.;7,650.00р.;;;http://www.master12volt.ru/products/ground-zero-5/4517/;;;;
GROUND ZERO GZCT 25SQL;1 шт.;3,050.00р.;3,990.00р.;;;http://www.master12volt.ru/products/ground-zero-5/4518/;;;;
GROUND ZERO GZCX 165-200.2SQL;1 компл;2,950.00р.;3,790.00р.;;;http://www.master12volt.ru/products/avtozvuk/5329/;;;;
"серия ""RADIOACTIVE""";;;;;;;;;;
GROUND ZERO GZRF 4.0SQ;6 шт.;4,100.00р.;5,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5262/;;;;
GROUND ZERO GZRF 5.2Q;6 шт.;5,250.00р.;6,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5263/;;;;
GROUND ZERO GZRF 6.5SQ;6 шт.;5,900.00р.;7,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5264/;;;;
GROUND ZERO GZRF 69SQ;4 шт.;8,550.00р.;11,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5265/;;;;
GROUND ZERO GZRK 165SQ;4 шт.;5,350.00р.;7,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5341/;;;;
GROUND ZERO GZRM 80SQ;1 компл;8,100.00р.;10,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5342/;;;;
GROUND ZERO GZRC 165.2SQ-ACT;1 компл;10,450.00р.;14,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5343/;;;;
GROUND ZERO GZRC 165.2SQ-IV;1 компл;11,000.00р.;14,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5344/;;;;
GROUND ZERO GZRC 165.2SQ;1 компл;11,750.00р.;15,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5345/;;;;
GROUND ZERO GZRC 165 ANNIVERSARY;1 компл;14,000.00р.;19,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5346/;;;;
GROUND ZERO GZRC 165.3-ACT;1 компл;17,800.00р.;23,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5347/;;;;
GROUND ZERO GZRC 165.3;1 компл;22,000.00р.;29,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5348/;;;;
GROUND ZERO GZRC 100NEO-IV;4 шт.;11,850.00р.;16,490.00р.;;;http://www.master12volt.ru/products/ground-zero/3703/;;;;
GROUND ZERO GZRC 200NEO-IV;4 шт.;20,000.00р.;27,990.00р.;;;http://www.master12volt.ru/products/ground-zero/3705/;;;;
GROUND ZERO GZRM 165X MARINE ;1 компл;5,550.00р.;7,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5349/;;;;
"серия ""NUCLEAR""";;;;;;;;;;
GROUND ZERO GZNK 165SQ;1 компл;18,500.00р.;26,990.00р.;;;http://www.master12volt.ru/products/ground-zero/4520/;;;;
GROUND ZERO GZNT 25SQ;1 компл;21,250.00р.;30,990.00р.;;;http://www.master12volt.ru/products/ground-zero-5/4779/;;;;
"серия ""PLUTONIUM""";;;;;;;;;;
GROUND ZERO GZPC 165SQ;1 компл;61,500.00р.;89,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5351/;;;;
GROUND ZERO GZPM 80SQXII;1 компл;23,150.00р.;32,990.00р.;;;http://www.master12volt.ru/products/akustika/4535/;;;;
"серия ""REFERENCE""";;;;;;;;;;
GROUND ZERO GZPM REFERENCE 80;1 компл;71,000.00р.;99,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5124/;;;;
GROUND ZERO GZPW REFERENCE 180 ;1 компл;87,800.00р.;122,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5266/;;;;
"серия ""URANIUM""";;;;;;;;;;
GROUND ZERO GZUC 16SQ;1 компл;18,000.00р.;24,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5360/;;;;
GROUND ZERO GZUC 165.2SQ-ACT;1 компл;24,400.00р.;32,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5361/;;;;
GROUND ZERO GZUC 165.2SQ;1 компл;29,250.00р.;39,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5362/;;;;
GROUND ZERO GZUM 80SQX;1 компл;9,900.00р.;13,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5422/;;;;
GROUND ZERO GZUT 28SQ;1 компл;6,750.00р.;9,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/5363/;;;;
GROUND ZERO GZUF 60SQX;1 компл;9,200.00р.;12,990.00р.;;;http://www.master12volt.ru/products/ground-zero/1915/;;;;
MAGNUM;;;;;;;;;;
серия LIGHT SERIES;;;;;;;;;;
Автоакустика MAGNUM MLS-6.5;1 компл;1,300.00р.;1,600.00р.;;;http://www.master12volt.ru/products/avtozvuk/5407/;;;;
Автоакустика MAGNUM MLS-694;1 компл;1,900.00р.;2,200.00р.;;;http://www.master12volt.ru/products/avtozvuk/5408/;;;;
Автоакустика MAGNUM MLS-6.5C;1 компл;2,200.00р.;2,650.00р.;;;http://www.master12volt.ru/products/avtozvuk/5409/;;;;
серия BASIC SERIES;;;;;;;;;;
Автоакустика MAGNUM MBM 6.5-4SB;1 шт.;1,460.00р.;1,840.00р.;;;http://www.master12volt.ru/products/avtozvuk/4052/;;;;
Автоакустика MAGNUM MBM 8.0-4SB;1 шт.;1,700.00р.;2,050.00р.;;;http://www.master12volt.ru/products/avtozvuk/4053/;;;;
серия PRO SERIES;;;;;;;;;;
Автоакустика MAGNUM MPS 8.0-4AB;1 шт.;1,700.00р.;2,090.00р.;;;http://www.master12volt.ru/products/akustika/3500/;;;;
серия EXPERT SERIES;;;;;;;;;;
Автоакустика MAGNUM MXW 6.5-4SF;1 шт.;1,100.00р.;1,500.00р.;;;http://www.master12volt.ru/products/magnum5/3501/;;;;
Автоакустика MAGNUM MXW 6.5-4SB2;1 шт.;1,670.00р.;1,950.00р.;;;http://www.master12volt.ru/products/magnum5/3502/;;;;
серия EXTREME SERIES;;;;;;;;;;
Автоакустика MAGNUM MEW 6.5-4AB;1 шт.;3,650.00р.;4,000.00р.;;;http://www.master12volt.ru/products/magnum5/3504/;;;;
Автоакустика MAGNUM MHW 6.5-4HS;1 шт.;2,450.00р.;2,970.00р.;;;http://www.master12volt.ru/products/avtozvuk/4532/;;;;
MOREL;;;;;;;;;;
MAXIMO COAX 6 MKII            новая версия ;4 шт.;4,600.00р.;5,990.00р.;;NEW Поступление!!!!!;;;;;
MAXIMO COAX 6*9;4 шт.;5,250.00р.;6,790.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/1153/;;;;
MAXIMO 6 MKII         новая версия ;4 шт.;5,950.00р.;7,690.00р.;;NEW Поступление!!!!!;;;;;
MAXIMO 6 MKII + GRILL    новая версия ;4 шт.;6,150.00р.;7,990.00р.;;NEW Поступление!!!!!;;;;;
MAXIMO ULTRA COAX 402;4 шт.;4,300.00р.;5,790.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/3362/;;;;
MAXIMO ULTRA COAX 502;4 шт.;4,450.00р.;5,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/3250/;;;;
MAXIMO ULTRA COAX 602 MKII;4 шт.;5,650.00р.;7,690.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/3178/;;;;
MAXIMO ULTRA COAX 692 MKII;4 шт.;5,850.00р.;7,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/3363/;;;;
MAXIMO ULTRA 602 MKII;4 шт.;7,650.00р.;9,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/3179/;;;;
MAXIMO ULTRA 602HE MKII (MAXIMUS 602);4 шт.;9,000.00р.;11,990.00р.;;NEW Поступление!!!!!;;;;;
MAXIMO ULTRA 603A MKII;4 шт.;11,600.00р.;15,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/4436/;;;;
MOREL MAXIMO ULTRA 603 MK II;4 шт.;13,000.00р.;17,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/4436/;;;;
TEMPO ULTRA TWEETER;4 шт.;6,850.00р.;8,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/avtozvuk/5555/;;;;
TEMPO ULTRA 402 INTEGRA MKII;4 шт.;5,900.00р.;7,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/5118/;;;;
TEMPO ULTRA 502 INTEGRA MKII  новая версия ;4 шт.;8,100.00р.;10,990.00р.;;NEW Поступление!!!!!;;;;;
TEMPO ULTRA 572 INTEGRA;4 шт.;7,100.00р.;8,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/1497/;;;;
TEMPO ULTRA 572 INTEGRA MKII   новая версия ;4 шт.;8,500.00р.;11,490.00р.;;NEW Поступление!!!!!;;;;;
TEMPO ULTRA 602 INTEGRA MKII   новая версия ;4 шт.;8,100.00р.;10,990.00р.;;NEW Поступление!!!!!;;;;;
TEMPO ULTRA 692 INTEGRA;4 шт.;8,050.00р.;10,990.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/1499/;;;;
TEMPO ULTRA 572 - 2WAY;4 шт.;10,850.00р.;14,790.00р.;;Снова в продаже!!!;http://www.master12volt.ru/products/morel/2020/;;;;
TEMPO ULTRA 602 MKII  новая версия ;4 шт.;11,400.00р.;14,990.00р.;;NEW Поступление!!!!!;;;;;
TEMPO ULTRA 692 MKII   новая версия ;4 шт.;12,800.00р.;16,990.00р.;;NEW Поступление!!!!!;;;;;
MOREL HYBRID INTEGRA 602 ;4 шт.;14,250.00р.;18,490.00р.;;;http://www.master12volt.ru/products/morel/1508/;;;;
MOREL HYBRID 602 ;4 шт.;17,500.00р.;22,490.00р.;;;http://www.master12volt.ru/products/morel/1511/;;;;
MOREL VIRTUS 503;4 шт.;21,500.00р.;27,990.00р.;;;http://www.master12volt.ru/products/morel/3251/;;;;
MOREL VIRTUS 602;4шт.;18,300.00р.;23,990.00р.;;;http://www.master12volt.ru/products/morel/1502/;;;;
MOREL VIRTUS NANO 602;4шт.;22,250.00р.;28,990.00р.;;;http://www.master12volt.ru/products/morel/3252/;;;;
MOREL VIRTUS NANO 603;4шт.;29,500.00р.;36,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/3364/;;;;
MOREL VIRTUS MW 4 (пара);4 шт.;9,900.00р.;13,490.00р.;;;http://www.master12volt.ru/products/morel/1504/;;;;
MOREL VIRTUS MW 5 (пара);4 шт.;9,750.00р.;12,490.00р.;;;http://www.master12volt.ru/products/morel/1505/;;;;
MOREL VIRTUS MW 6 (пара);4 шт.;11,700.00р.;14,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/5120/;;;;
"5.25"" MESH GRILLE (защитная решетка для динамиков)";комп.;360.00р.;490.00р.;;;http://www.master12volt.ru/products/avtozvuk/3516/;;;;
"6.5"" MESH GRILLE (защитная решетка для динамиков)";комп.;625.00р.;850.00р.;;;http://www.master12volt.ru/products/avtozvuk/3517/;;;;
"5x7"" MESH GRILLE (защитная решетка для динамиков)";комп.;485.00р.;650.00р.;;;http://www.master12volt.ru/products/avtozvuk/3518/;;;;
"6x9"" MESH GRILLE (защитная решетка для динамиков)";комп.;485.00р.;650.00р.;;;http://www.master12volt.ru/products/avtozvuk/3519/;;;;
NAKAMICHI;;;;;;;;;;
PIONEER ;;;;;;;;;;
PIONEER TS-G1010S;16 шт.;1,500.00р.;1,800.00р.;;;http://www.master12volt.ru/products/pioneer_car_audio/5488/;;;;
PIONEER TS-G1020S;16 шт.;1,700.00р.;2,090.00р.;;;http://www.master12volt.ru/products/pioneer_car_audio/5489/;;;;
PIONEER TS-G1030S;16 шт.;2,000.00р.;2,450.00р.;;;http://www.master12volt.ru/products/akustika/5490/;;;;
PIONEER TS-G1310S;16 шт.;1,680.00р.;1,890.00р.;;;http://www.master12volt.ru/products/avtozvuk/5304/;;;;
PIONEER TS-G1320F;16 шт.;1,940.00р.;2,200.00р.;;;http://www.master12volt.ru/products/akustika/3367/;;;;
PIONEER TS-G1330F;16 шт.;2,100.00р.;2,420.00р.;;;http://www.master12volt.ru/products/akustika/3368/;;;;
PIONEER TS-G1710S;12 шт.;1,900.00р.;2,190.00р.;;;http://www.master12volt.ru/products/avtozvuk/5241/;;;;
PIONEER TS-G1720F;12 шт.;2,200.00р.;2,600.00р.;;;http://www.master12volt.ru/products/akustika/3370/;;;;
PIONEER TS-G1730F;12 шт.;2,480.00р.;2,750.00р.;;;http://www.master12volt.ru/products/akustika/3371/;;;;
PIONEER TS-1339R;6 шт.;2,700.00р.;3,200.00р.;;;http://www.master12volt.ru/products/avtozvuk/3372/;;;;
PIONEER TS-G6930F;3 шт.;3,150.00р.;3,480.00р.;;;http://www.master12volt.ru/products/pioneer_car_audio/3507/;;;;
XCELSUS AUDIO;;;;;;;;;;
"XP620 Коаксиальная автомобильная двухполосная акустическая система, 6.5"" (165 mm) серия Xcelsus Primum ";пара;3,100.00р.;3,900.00р.;;;http://www.master12volt.ru/products/avtozvuk/4719/;;;;
"XP694 Коаксиальная автомобильная двухполосная акустическая система, 6x9"" (236 x 165 mm) серия Xcelsus Primum";пара;4,300.00р.;5,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/4720/;;;;
"XP6.2 Компонентная автомобильная акустическая система 6.5"", (165 mm) серия Xcelsus Primum, Твитер XT20";пара;4,850.00р.;6,200.00р.;;;http://www.master12volt.ru/products/avtozvuk/4721/;;;;
"XP6.2B Компонентная автомобильная акустическая система 6.5"", (165 mm) серия Xcelsus Primum, Твитер XT25";пара;5,500.00р.;6,900.00р.;;;http://www.master12volt.ru/products/avtozvuk/4722/;;;;
"XU6.2 Компонентная автомобильная акустическая система 6.5"", (165 mm) серия Xcelsus Ultra, Твитер XT28";пара;8,600.00р.;10,900.00р.;;;http://www.master12volt.ru/products/avtozvuk/4723/;;;;
"XU6.2C Компонентная автомобильная акустическая система 6.5"", (165 mm) серия Xcelsus Ultra, Твитер XT28";пара;10,150.00р.;12,900.00р.;;;http://www.master12volt.ru/products/avtozvuk/4724/;;;;
"Компонентная акустическая система. Мидбас XUSM6 6.5"" (165 mm) Ultra SQL серия, пара";пара;8,500.00р.;10,900.00р.;;;http://www.master12volt.ru/products/avtozvuk/4730/;;;;
"Компонентная акустическая система. Мидбас XUSM8 8"" (200 mm) Ultra SQL серия, пара";пара;9,550.00р.;12,300.00р.;;;http://www.master12volt.ru/products/avtozvuk/4731/;;;;
"Комплект компонентной акустики UltraSQL kit 6"" (165 мм)";пара;18,780.00р.;24,600.00р.;;;;;;;
"Комплект компонентной акустики UltraSQL kit 8"" (200 мм)";пара;19,740.00р.;25,800.00р.;;;;;;;
"Компонентная акустическая система. Мидбас XXM650 6.5"" (165 mm),                XX Competition серия, пара";пара;14,600.00р.;18,990.00р.;;;http://www.master12volt.ru/products/avtozvuk/4732/;;;;
"Компонентная акустическая система. Мидбас XXM675 6.5"" (165 mm),                XX Competition серия, пара";пара;22,400.00р.;29,200.00р.;;;http://www.master12volt.ru/products/avtozvuk/4733/;;;;
"Компонентная акустическая система. Среднечастотник XXM325 3"" (325 mm),                    XX Competition серия, пара";пара;10,100.00р.;13,150.00р.;;;http://www.master12volt.ru/products/avtozvuk/4734/;;;;
"XIC620 Встраиваимая домашняя двухполосная акустическая система 6.5"" (165 mm), серия Xcelsus In Ceiling";пара;5,300.00р.;7,200.00р.;;;http://www.master12volt.ru/products/avtozvuk/4725/;;;;
"XIC820 Встраиваимая домашняя двухполосная акустическая система 8"" (200 mm), серия Xcelsus In Ceiling";пара;9,850.00р.;13,500.00р.;;;http://www.master12volt.ru/products/avtozvuk/4726/;;;;
SKYLOR;;;;;;;;;;
SKYLOR BS-1304 coax. 13cm. 4 way;10 шт.;1,190.00р.;1,600.00р.;;;http://www.master12volt.ru/products/avtozvuk/4597/;;;;
SKYLOR BS-1604 coax. 16cm. 4 way;10 шт.;1,300.00р.;1,700.00р.;;;http://www.master12volt.ru/products/avtozvuk/4598/;;;;
SKYLOR BS-6 comp. 16cm. 2way;6 шт.;2,000.00р.;2,700.00р.;;Изменение цены с 26 октября!!!;http://www.master12volt.ru/products/avtozvuk/4599/;;;;
SKYLOR BS-6904 coax. 6x9. 5way;4 шт.;1,900.00р.;2,200.00р.;;;http://www.master12volt.ru/products/avtozvuk/4600/;;;;
SKYLOR CLS-1024 coax. 10cm. 4way;12 шт.;1,300.00р.;1,490.00р.;;;http://www.master12volt.ru/products/avtozvuk/4601/;;;;
SKYLOR CLS-1324 coax. 13 cm.4way;12 шт.;1,380.00р.;1,690.00р.;;;http://www.master12volt.ru/products/avtozvuk/4602/;;;;
SKYLOR CLS-1624 coax. 16cm.4way;10 шт.;1,500.00р.;1,890.00р.;;;http://www.master12volt.ru/products/avtozvuk/4603/;;;;
SKYLOR CLS-6.2C comp. 16cm. 2way;6 шт.;2,200.00р.;2,690.00р.;;Изменение цены с 26 октября!!!;http://www.master12volt.ru/products/avtozvuk/4604/;;;;
SKYLOR CLS-6925  6x9;4 шт.;2,020.00р.;2,690.00р.;;;http://www.master12volt.ru/products/avtozvuk/4605/;;;;
SKYLOR R5 coax. 13cm. 2way;10 шт.;1,900.00р.;2,500.00р.;;NEW Поступление!!!!!;http://www.master12volt.ru/products/skylor3/5530/;;;;
SKYLOR R6 coax. 16cm. 2way;10 шт.;2,050.00р.;2,700.00р.;;NEW Поступление!!!!!;http://www.master12volt.ru/products/skylor3/5531/;;;;
SKYLOR R69 coax. 6х9  3way ;4 шт.;2,800.00р.;3,800.00р.;;NEW Поступление!!!!!;http://www.master12volt.ru/products/skylor3/5532/;;;;
SKYLOR R6C comp. 16cm. 2way;4 шт.;2,970.00р.;3,800.00р.;;NEW Поступление!!!!!;http://www.master12volt.ru/products/skylor3/5533/;;;;
SKYLOR SLIM 1302(Custom Fit);6 шт.;1,160.00р.;1,350.00р.;;;http://www.master12volt.ru/products/avtozvuk/4606/;;;;
SKYLOR SLIM 1602 (Custom Fit);6 шт.;1,260.00р.;1,480.00р.;;;http://www.master12volt.ru/products/avtozvuk/4607/;;;;
SKYLOR SQ-134 coax. 13cm. 2way  HI-FI;6 шт.;2,190.00р.;2,720.00р.;;;http://www.master12volt.ru/products/avtozvuk/4608/;;;;
SKYLOR SQ-164 coax. 16cm. 2way HI-FI;6 шт.;2,720.00р.;3,300.00р.;;;http://www.master12volt.ru/products/avtozvuk/4609/;;;;
